,wals_code,name,latitude,longitude,genus,family,countrycodes,Distance_Contrasts_in_Demonstratives,Order_of_Object_and_Verb,Presence_of_Uncommon_Consonants,Numeral_Bases,Nonperiphrastic_Causative_Constructions,SOVNeg_Order,Obligatory_Possessive_Inflection,Order_of_Relative_Clause_and_Noun,Tea,Productivity_of_the_Antipassive_Construction,Position_of_negative_words_relative_to_beginning_and_end_of_clause_and_with_respect_to_adjacency_to_verb,Distributive_Numerals,'When'_Clauses,Alignment_of_Case_Marking_of_Full_Noun_Phrases,Epistemic_Possibility,Prefixing_vs._Suffixing_in_Inflectional_Morphology,Gender_Distinctions_in_Independent_Personal_Pronouns,Postverbal_Negative_Morphemes,"Order_of_Object,_Oblique,_and_Verb",SONegV_Order,Glottalized_Consonants,Conjunctions_and_Universal_Quantifiers,Order_of_Adjective_and_Noun,Absence_of_Common_Consonants,Definite_Articles,The_Perfect,Obligatory_Double_Negation,Minor_morphological_means_of_signaling_negation,Prenominal_relative_clauses,Utterance_Complement_Clauses,Number_of_Cases,Order_of_Degree_Word_and_Adjective,Rhythm_Types,Comitatives_and_Instrumentals,Relationship_between_the_Order_of_Object_and_Verb_and_the_Order_of_Relative_Clause_and_Noun,Zero_Copula_for_Predicate_Nominals,Para-Linguistic_Usages_of_Clicks,"Position_of_Negative_Word_With_Respect_to_Subject,_Object,_and_Verb",M-T_Pronouns,Cultural_Categories_of_Languages_with_Identity_of_'Finger'_and_'Hand',Vowel_Quality_Inventories,Indefinite_Articles,Possessive_Classification,Antipassive_Constructions,Suppletion_According_to_Tense_and_Aspect,Number_of_Genders,Suppletion_in_Imperatives_and_Hortatives,Fixed_Stress_Locations,"Languages_with_two_Dominant_Orders_of_Subject,_Object,_and_Verb",Tone,Vowel_Nasalization,SVONeg_Order,'Want'_Complement_Subjects,Verbal_Person_Marking,Preverbal_Negative_Morphemes,Politeness_Distinctions_in_Pronouns,Red_and_Yellow,Negative_Indefinite_Pronouns_and_Predicate_Negation,Syncretism_in_Verbal_Person/Number_Marking,Action_Nominal_Constructions,Consonant_Inventories,Consonant-Vowel_Ratio,Sex-based_and_Non-sex-based_Gender_Systems,Obligatory_Double_Negation_in_SOV_languages,Exponence_of_Tense-Aspect-Mood_Inflection,Obligatory_Double_Negation_in_SVO_languages,The_Morphological_Imperative,Relationship_between_the_Order_of_Object_and_Verb_and_the_Order_of_Adjective_and_Noun,Situational_Possibility,Voicing_and_Gaps_in_Plosive_Systems,Order_of_Person_Markers_on_the_Verb,Number_of_Non-Derived_Basic_Colour_Categories,Order_of_Adposition_and_Noun_Phrase,Voicing_in_Plosives_and_Fricatives,Third_Person_Pronouns_and_Demonstratives,Applicative_Constructions,Case_Syncretism,Symmetric_and_Asymmetric_Standard_Negation,The_Velar_Nasal,Order_of_Numeral_and_Noun,Double_negation_in_verb-initial_languages,Number_of_Basic_Colour_Categories,Person_Marking_on_Adpositions,Order_of_Genitive_and_Noun,N-M_Pronouns,Locus_of_Marking_in_Possessive_Noun_Phrases,Reason_Clauses,Ditransitive_Constructions:_The_Verb_'Give',Systems_of_Gender_Assignment,Order_of_Subject_and_Verb,Green_and_Blue,Relationship_between_the_Order_of_Object_and_Verb_and_the_Order_of_Adposition_and_Noun_Phrase,SVNegO_Order,Overlap_between_Situational_and_Epistemic_Modal_Marking,Exponence_of_Selected_Inflectional_Formatives,Nominal_and_Verbal_Conjunction,Lateral_Consonants,Coding_of_Evidentiality,Number_of_Possessive_Nouns,Weight_Factors_in_Weight-Sensitive_Stress_Systems,Order_of_Negative_Morpheme_and_Verb,SNegVO_Order,Position_of_Pronominal_Possessive_Affixes,Nasal_Vowels_in_West_Africa,Order_of_Adverbial_Subordinator_and_Clause,Order_of_Demonstrative_and_Noun,The_Past_Tense,Comparative_Constructions,Verb-Initial_with_Clause-Final_Negative,Reciprocal_Constructions,Periphrastic_Causative_Constructions,Inclusive/Exclusive_Distinction_in_Verbal_Inflection,Semantic_Distinctions_of_Evidentiality,Noun_Phrase_Conjunction,The_Associative_Plural,Optional_Double_Negation,Position_of_Tense-Aspect_Affixes,Hand_and_Arm,Verbal_Number_and_Suppletion,Relativization_on_Obliques,Other_Roles_of_Applied_Objects,Predicative_Adjectives,M_in_Second_Person_Singular,Position_of_Case_Affixes,Negative_Morphemes,The_Position_of_Negative_Morphemes_in_SVO_Languages,The_Future_Tense,Imperative-Hortative_Systems,Languages_with_different_word_order_in_negative_clauses,Plurality_in_Independent_Personal_Pronouns,Finger_and_Hand,Indefinite_Pronouns,NegSOV_Order,Fusion_of_Selected_Inflectional_Formatives,Syllable_Structure,Zero_Marking_of_A_and_P_Arguments,Alignment_of_Verbal_Person_Marking,Verb-Initial_with_Preverbal_Negative,Ordinal_Numerals,The_Position_of_Negative_Morphemes_in_Object-Initial_Languages,SNegOV_Order,Polar_Questions,Asymmetrical_Case-Marking,Nominal_and_Locational_Predication,Intensifiers_and_Reflexive_Pronouns,Relativization_on_Subjects,Numeral_Classifiers,Subtypes_of_Asymmetric_Standard_Negation,Predicative_Possession,Uvular_Consonants,The_Position_of_Negative_Morphemes_in_Verb-Initial_Languages,Passive_Constructions,Reduplication,Locus_of_Marking_in_the_Clause,Inclusive/Exclusive_Distinction_in_Independent_Pronouns,Coding_of_Nominal_Plurality,Adjectives_without_Nouns,Position_of_Polar_Question_Particles,The_Position_of_Negative_Morphemes_in_SOV_Languages,Occurrence_of_Nominal_Plurality,Perfective/Imperfective_Aspect,"Order_of_Subject,_Object_and_Verb",Multiple_Negative_Constructions_in_SOV_Languages,Position_of_Interrogative_Phrases_in_Content_Questions,The_Prohibitive,The_Optative,Purpose_Clauses,NegSVO_Order,Postnominal_relative_clauses,Verb-Initial_with_Negative_that_is_Immediately_Postverbal_or_between_Subject_and_Object,Multiple_Negative_Constructions_in_SVO_Languages,Optional_Double_Negation_in_SOV_languages,Internally-headed_relative_clauses,Weight-Sensitive_Stress,Alignment_of_Case_Marking_of_Pronouns,Locus_of_Marking:_Whole-language_Typology,"Genitives,_Adjectives_and_Relative_Clauses",Pronominal_and_Adnominal_Demonstratives,M_in_First_Person_Singular,Inflectional_Synthesis_of_the_Verb,Expression_of_Pronominal_Subjects,Optional_Double_Negation_in_SVO_languages,Front_Rounded_Vowels,Third_Person_Zero_of_Verbal_Person_Marking,Inclusive/Exclusive_Forms_in_Pama-Nyungan
0,abd,Abidji,5.66666666667,-4.58333333333,Kwa,Niger-Congo,CI,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,nan,nan,nan,nan,nan,nan,nan,2 Green/blue,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,abe,Arabic (Beirut),33.9166666667,35.5,Semitic,Afro-Asiatic,LB,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1 Trochaic,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1 No fixed stress,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,abi,Abipón,-29.0,-61.0,South Guaicuruan,Guaicuruan,AR,nan,?,1 None,nan,?,nan,nan,?,nan,nan,nan,nan,nan,1 Neutral,nan,2 Strongly suffixing,6 No gender distinctions,4 None,?,nan,1 No glottalized consonants,nan,3 No dominant order,?,nan,4 No perfect,nan,4 None,nan,nan,1 No morphological case-marking,1 Degree word-Adjective,nan,nan,?,nan,nan,21 Other,nan,nan,?,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,4 No SVONeg,nan,?,1 NegV,nan,nan,nan,2 Syncretic,nan,?,?,nan,nan,?,nan,nan,5 Other,nan,1 Other,?,nan,2 Prepositions,1 No voicing contrast,nan,nan,1 No case marking,3 Both,?,nan,nan,nan,2 No person marking,?,nan,nan,nan,nan,nan,1 SV,nan,?,?,nan,5 No case,nan,?,?,nan,nan,?,nan,?,nan,?,?,4 No past tense,3 Conjoined,nan,nan,nan,2 'We' the same as 'I',1 No grammatical evidentials,nan,nan,nan,2 Tense-aspect suffixes,2 Different,nan,nan,nan,nan,nan,?,2 Negative particle,11 Other NegV,?,nan,nan,4 Person-number stem,?,nan,nan,1 Exclusively concatenative,?,nan,?,nan,nan,nan,nan,nan,1 No case-marking,nan,nan,nan,nan,3 A/Cat,nan,?,nan,?,nan,nan,?,?,nan,nan,nan,nan,2 No grammatical marking,2 SVO,nan,1 Initial interrogative phrase,nan,nan,nan,nan,?,nan,nan,nan,nan,nan,?,nan,nan,nan,nan,nan,nan,nan,1 None,3 Zero in some 3sg forms,nan
3,abk,Abkhaz,43.0833333333,41.0,Northwest Caucasian,Northwest Caucasian,GE,2 Two-way contrast,1 OV,?,?,?,2 Suffix&NoDoubleNeg,2 Absent,?,nan,?,nan,?,?,1 Neutral,?,4 Equal prefixing and suffixing,1 In 3rd person + 1st and/or 2nd person,2 [V-Neg],3 XOV,?,2 Ejectives only,nan,?,?,1 Definite word distinct from demonstrative,3 Other perfect,nan,?,1 Relative clause-Noun (RelN) dominant,2 Balanced/deranked,2 2 cases,1 Degree word-Adjective,nan,?,?,?,nan,?,?,nan,1 Small (2-4),?,?,?,?,3 Three,5 None (= no suppletive imperatives reported in the reference material),1 No fixed stress,nan,1 No tones,?,nan,?,5 Both the A and P arguments,?,nan,nan,1 Predicate negation also present,3 Not syncretic,3 Ergative-Possessive,5 Large,?,2 Sex-based,nan,?,nan,?,2 OV and NAdj,?,?,3 P precedes A,nan,1 Postpositions,4 In both plosives and fricatives,nan,4 Benefactive and other; only transitive,1 No case marking,?,?,3 No dominant order,nan,nan,4 Pronouns and nouns,?,1 No N-M pronouns,1 Head marking,3 Deranked,?,2 Semantic,?,nan,?,nan,2 Overlap for either possibility or necessity,?,1 Identity,?,?,?,6 Lexical stress,?,nan,1 Possessive prefixes,nan,4 Subordinating suffix,1 Demonstrative-Noun,?,nan,nan,?,2 Purposive but no sequential,?,2 Indirect only,?,2 Unique affixal associative plural,nan,?,2 Different,?,4 Gap,1 Instrument,1 Verbal encoding,?,?,1 Negative affix,nan,?,?,nan,?,?,3 Special,4 No NegSOV,?,?,?,3 Ergative,nan,"5 First/one-th, two-th, three-th",nan,?,?,?,?,?,4 Gap,1 Absent,?,?,2 Uvular stops only,nan,2 Absent,?,1 Head marking,5 Inclusive/exclusive,?,?,?,15 More than one construction,?,1 Grammatical marking,1 SOV,?,?,?,?,?,nan,nan,nan,nan,nan,nan,7 Not predictable,1 Neutral,1 Head-marking,6 Highly differentiated,?,1 No m in first person singular,?,?,nan,?,?,nan
4,abm,Alabama,32.3333333333,-87.4166666667,Muskogean,Muskogean,US,nan,nan,?,1 Decimal,nan,nan,nan,nan,3 Others,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,nan,1 All present,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2 Possible,nan,nan,nan,nan,?,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1 Small,?,nan,nan,nan,nan,nan,nan,nan,?,nan,nan,nan,?,nan,nan,nan,nan,3 No velar nasal,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4 /l/ and lateral obstruent,?,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2 Indirect only,?,nan,nan,nan,?,nan,nan,nan,?,nan,nan,nan,nan,nan,nan,nan,nan,2 Different,1 Interrogative-based,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,nan,nan,nan,1 Locational,1 None,nan,nan,?,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,nan
5,abu,Abun,-0.5,132.5,North-Central Bird's Head,West Papuan,ID,nan,?,nan,?,nan,nan,nan,1 Noun-Relative clause,nan,nan,nan,nan,?,nan,nan,?,3 3rd person singular only,?,?,nan,nan,?,?,nan,?,nan,1 NegVNeg,4 None,nan,?,nan,?,nan,nan,?,nan,nan,?,nan,nan,nan,?,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,?,?,?,?,nan,?,nan,nan,nan,nan,nan,nan,nan,1 SNegVONeg,5 No second-person imperatives,4 VO and NAdj,nan,nan,?,nan,2 Prepositions,nan,nan,nan,nan,nan,nan,2 Noun-Numeral,nan,nan,?,1 Genitive-Noun,nan,nan,?,1 Indirect-object construction,nan,1 SV,nan,?,7 No SVNegO,nan,nan,1 Identity,nan,nan,nan,nan,?,?,nan,nan,5 Mixed,?,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5 No tense-aspect inflection,nan,nan,nan,nan,nan,nan,9 No case affixes or adpositional clitics,?,?,nan,nan,nan,nan,nan,?,nan,nan,nan,nan,?,nan,nan,nan,nan,?,nan,nan,nan,nan,?,nan,nan,nan,nan,2 Absent,nan,nan,nan,?,nan,2 Final,nan,1 No nominal plural,nan,2 SVO,nan,2 Not initial interrogative phrase,nan,nan,?,?,?,nan,nan,nan,nan,nan,nan,nan,6 Highly differentiated,nan,nan,nan,1 Obligatory pronouns in subject position,nan,nan,1 No person marking,nan
6,abv,Abui,-8.25,124.666666667,Greater Alor,Timor-Alor-Pantar,ID,nan,1 OV,nan,nan,nan,?,nan,?,nan,nan,?,nan,nan,nan,nan,4 Equal prefixing and suffixing,nan,?,nan,?,nan,nan,?,nan,nan,nan,nan,?,nan,nan,nan,nan,nan,nan,2 OV and NRel,nan,nan,8 SOVNeg,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4 None,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,nan,nan,nan,5 No adpositions,nan,nan,nan,nan,nan,nan,2 Noun-Numeral,nan,nan,nan,1 Genitive-Noun,nan,nan,nan,nan,nan,1 SV,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,?,nan,nan,1 Demonstrative-Noun,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2 Tense-aspect suffixes,nan,nan,nan,nan,nan,nan,9 No case affixes or adpositional clitics,3 Negative auxiliary verb,nan,nan,nan,nan,nan,nan,nan,4 No NegSOV,nan,nan,nan,nan,nan,nan,nan,4 No SNegOV,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7 Plural word,nan,nan,?,nan,nan,?,nan,2 Not initial interrogative phrase,nan,nan,nan,nan,1 Noun-Relative clause (NRel) dominant,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,nan,nan,nan
7,abz,Abaza,44.0,42.0,Northwest Caucasian,Northwest Caucasian,RU,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,nan,3 No velar nasal,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3 Instrument and locative,?,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1 Different,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,ace,Acehnese,5.5,95.5,Malayo-Sumbawan,Austronesian,ID,?,?,nan,nan,2 Morphological but no compound,nan,nan,?,2 Words derived from Min Nan Chinese te,nan,nan,nan,?,nan,?,1 Little affixation,?,?,6 No dominant order,nan,nan,nan,2 Noun-Adjective,nan,5 No definite or indefinite article,nan,nan,4 None,nan,1 Balanced,nan,?,1 Trochaic,nan,5 Other,?,nan,nan,1 No M-T pronouns,nan,nan,?,nan,nan,nan,nan,nan,7 Ultimate,nan,nan,nan,nan,1 Subject is left implicit,?,?,nan,nan,?,nan,nan,nan,nan,nan,nan,nan,nan,?,?,2 Verbal constructions,nan,2 A precedes P,nan,?,nan,nan,nan,nan,nan,nan,?,nan,nan,?,2 Noun-Genitive,1 No N-M pronouns,?,1 Balanced,?,nan,?,nan,5 Other,nan,?,nan,?,nan,nan,nan,5 Prominence,?,nan,?,nan,?,2 Noun-Demonstrative,nan,nan,nan,nan,nan,nan,nan,?,nan,nan,5 No tense-aspect inflection,nan,nan,4 Gap,nan,?,1 No m in second person singular,9 No case affixes or adpositional clitics,nan,nan,nan,nan,nan,nan,nan,?,nan,nan,nan,?,?,nan,nan,nan,nan,?,nan,1 Different,nan,4 Gap,nan,nan,3 Topic,nan,nan,?,nan,?,nan,?,nan,?,nan,1 No nominal plural,nan,7 No dominant order,nan,3 Mixed,?,nan,1 Balanced,nan,?,nan,nan,nan,nan,8 Fixed stress (no weight-sensitivity),nan,1 Head-marking,nan,1 Identical,?,nan,nan,nan,nan,?,nan
9,ach,Aché,-25.25,-55.1666666667,Tupi-Guaraní,Tupian,PY,nan,nan,1 None,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1 No glottalized consonants,nan,nan,?,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2 Average (5-6),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,?,nan,nan,nan,nan,nan,nan,nan,1 Other,nan,nan,nan,1 No voicing contrast,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1 Simple,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1 None,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,?,nan,nan
