wals_code	name	family	features
cub	Cubeo	Tucanoan	consonant_inventories=1 Small|vowel_quality_inventories=2 Average (5-6)|consonant-vowel_ratio=1 Low|voicing_in_plosives_and_fricatives=2 In plosives alone|voicing_and_gaps_in_plosive_systems=4 Missing /g/|uvular_consonants=1 None|glottalized_consonants=1 No glottalized consonants|lateral_consonants=1 No laterals|front_rounded_vowels=1 None|syllable_structure=1 Simple|tone=2 Simple tone system|fixed_stress_locations=1 No fixed stress|weight-sensitive_stress=3 Right-edge: Ultimate or penultimate|weight_factors_in_weight-sensitive_stress_systems=2 Long vowel|rhythm_types=1 Trochaic|absence_of_common_consonants=4 No nasals|presence_of_uncommon_consonants=1 None|prefixing_vs._suffixing_in_inflectional_morphology=2 Strongly suffixing|distance_contrasts_in_demonstratives=3 Three-way contrast|pronominal_and_adnominal_demonstratives=1 Identical|third_person_pronouns_and_demonstratives=2 Related for all demonstratives|gender_distinctions_in_independent_personal_pronouns=3 3rd person singular only|intensifiers_and_reflexive_pronouns=2 Differentiated|person_marking_on_adpositions=2 No person marking|position_of_case_affixes=1 Case suffixes|position_of_pronominal_possessive_affixes=4 No possessive affixes|position_of_tense-aspect_affixes=2 Tense-aspect suffixes|order_of_subject,_object_and_verb=5 OVS|order_of_subject_and_verb=2 VS|order_of_object_and_verb=1 OV|order_of_adposition_and_noun_phrase=1 Postpositions|order_of_genitive_and_noun=1 Genitive-Noun|order_of_adjective_and_noun=1 Adjective-Noun|order_of_numeral_and_noun=1 Numeral-Noun|order_of_relative_clause_and_noun=1 Noun-Relative clause|order_of_degree_word_and_adjective=3 No dominant order|position_of_polar_question_particles=6 No question particle|position_of_interrogative_phrases_in_content_questions=1 Initial interrogative phrase|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=1 OV and Postpositions|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=5 Other|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=1 OV and AdjN|alignment_of_verbal_person_marking=2 Accusative|expression_of_pronominal_subjects=2 Subject affixes on verb|verbal_person_marking=5 Both the A and P arguments|third_person_zero_of_verbal_person_marking=2 No zero realization|order_of_person_markers_on_the_verb=1 A and P do not or do not both occur on the verb|passive_constructions=1 Present|negative_morphemes=1 Negative affix|polar_questions=2 Interrogative verb morphology|hand_and_arm=2 Different|finger_and_hand=2 Different|postverbal_negative_morphemes=2 [V-Neg]|the_position_of_negative_morphemes_in_object-initial_languages=4 O[V-Neg]S|postnominal_relative_clauses=1 Noun-Relative clause (NRel) dominant|position_of_negative_word_with_respect_to_subject,_object,_and_verb=20 MorphNeg|preverbal_negative_morphemes=4 None|order_of_negative_morpheme_and_verb=4 [V-Neg]|minor_morphological_means_of_signaling_negation=4 None
des	Desano	Tucanoan	fixed_stress_locations=1 No fixed stress|weight-sensitive_stress=7 Not predictable|weight_factors_in_weight-sensitive_stress_systems=6 Lexical stress|prefixing_vs._suffixing_in_inflectional_morphology=2 Strongly suffixing|coding_of_nominal_plurality=2 Plural suffix|the_associative_plural=2 Unique affixal associative plural|position_of_case_affixes=1 Case suffixes|comitatives_and_instrumentals=2 Differentiation|position_of_pronominal_possessive_affixes=4 No possessive affixes|position_of_tense-aspect_affixes=2 Tense-aspect suffixes|the_morphological_imperative=4 Second person number-neutral|the_prohibitive=3 Special imperative + normal negative|order_of_subject,_object_and_verb=1 SOV|order_of_subject_and_verb=1 SV|order_of_object_and_verb=1 OV|order_of_adposition_and_noun_phrase=1 Postpositions|order_of_genitive_and_noun=1 Genitive-Noun|order_of_adjective_and_noun=1 Adjective-Noun|order_of_demonstrative_and_noun=1 Demonstrative-Noun|order_of_numeral_and_noun=3 No dominant order|order_of_relative_clause_and_noun=1 Noun-Relative clause|position_of_polar_question_particles=6 No question particle|position_of_interrogative_phrases_in_content_questions=1 Initial interrogative phrase|order_of_adverbial_subordinator_and_clause=2 Final subordinator word|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=1 OV and Postpositions|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=2 OV and NRel|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=1 OV and AdjN|expression_of_pronominal_subjects=2 Subject affixes on verb|negative_morphemes=1 Negative affix|polar_questions=2 Interrogative verb morphology|hand_and_arm=2 Different|finger_and_hand=2 Different|postverbal_negative_morphemes=2 [V-Neg]|postnominal_relative_clauses=1 Noun-Relative clause (NRel) dominant|negsov_order=4 No NegSOV|sovneg_order=2 Suffix&NoDoubleNeg|position_of_negative_word_with_respect_to_subject,_object,_and_verb=20 MorphNeg|sonegv_order=8 No SONegV|preverbal_negative_morphemes=4 None|order_of_negative_morpheme_and_verb=4 [V-Neg]|snegov_order=4 No SNegOV|the_position_of_negative_morphemes_in_sov_languages=6 SO[V-Neg]|minor_morphological_means_of_signaling_negation=4 None
dhb	Dharumbal	Pama-Nyungan	position_of_case_affixes=1 Case suffixes|position_of_tense-aspect_affixes=2 Tense-aspect suffixes|order_of_subject,_object_and_verb=1 SOV|order_of_subject_and_verb=1 SV|order_of_object_and_verb=1 OV|order_of_genitive_and_noun=1 Genitive-Noun|position_of_interrogative_phrases_in_content_questions=2 Not initial interrogative phrase|ditransitive_constructions:_the_verb_'give'=2 Double-object construction|'want'_complement_subjects=1 Subject is left implicit
din	Dinka	Eastern Sudanic	consonant_inventories=3 Average|vowel_quality_inventories=3 Large (7-14)|consonant-vowel_ratio=3 Average|voicing_in_plosives_and_fricatives=2 In plosives alone|voicing_and_gaps_in_plosive_systems=2 None missing in /p t k b d g/|uvular_consonants=1 None|glottalized_consonants=1 No glottalized consonants|lateral_consonants=2 /l/, no obstruent laterals|front_rounded_vowels=1 None|syllable_structure=2 Moderately complex|tone=3 Complex tone system|absence_of_common_consonants=1 All present|presence_of_uncommon_consonants=1 None|prefixing_vs._suffixing_in_inflectional_morphology=2 Strongly suffixing|coding_of_nominal_plurality=3 Plural stem change|definite_articles=1 Definite word distinct from demonstrative|position_of_pronominal_possessive_affixes=4 No possessive affixes|noun_phrase_conjunction=2 'And' identical to 'with'|position_of_tense-aspect_affixes=2 Tense-aspect suffixes|order_of_subject,_object_and_verb=7 No dominant order|order_of_subject_and_verb=1 SV|order_of_object_and_verb=3 No dominant order|order_of_object,_oblique,_and_verb=6 No dominant order|order_of_adposition_and_noun_phrase=2 Prepositions|order_of_genitive_and_noun=2 Noun-Genitive|order_of_adjective_and_noun=2 Noun-Adjective|order_of_demonstrative_and_noun=4 Demonstrative suffix|order_of_numeral_and_noun=2 Noun-Numeral|order_of_relative_clause_and_noun=1 Noun-Relative clause|order_of_degree_word_and_adjective=2 Adjective-Degree word|position_of_polar_question_particles=2 Final|position_of_interrogative_phrases_in_content_questions=2 Not initial interrogative phrase|order_of_adverbial_subordinator_and_clause=1 Initial subordinator word|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=5 Other|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=5 Other|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=5 Other|expression_of_pronominal_subjects=2 Subject affixes on verb|negative_morphemes=2 Negative particle|polar_questions=5 Absence of declarative morphemes|predicative_possession=5 'Have'|predicative_adjectives=1 Verbal encoding|nominal_and_locational_predication=1 Different|zero_copula_for_predicate_nominals=1 Impossible|tea=1 Words derived from Sinitic cha|postverbal_negative_morphemes=4 None|postnominal_relative_clauses=1 Noun-Relative clause (NRel) dominant|negsov_order=4 No NegSOV|sovneg_order=11 NoSOVNeg|position_of_negative_word_with_respect_to_subject,_object,_and_verb=6 SNegOV|sonegv_order=8 No SONegV|position_of_negative_words_relative_to_beginning_and_end_of_clause_and_with_respect_to_adjacency_to_verb=3 Immed preverbal|languages_with_two_dominant_orders_of_subject,_object,_and_verb=1 SOV or SVO|preverbal_negative_morphemes=1 NegV|order_of_negative_morpheme_and_verb=1 NegV|snegov_order=4 No SNegOV|the_position_of_negative_morphemes_in_sov_languages=12 SVO/SOV but SNegOV|languages_with_different_word_order_in_negative_clauses=17 SVO/SOV, but SOVNeg|minor_morphological_means_of_signaling_negation=4 None
dja	Djabugay	Pama-Nyungan	prefixing_vs._suffixing_in_inflectional_morphology=2 Strongly suffixing|occurrence_of_nominal_plurality=6 All nouns, always obligatory|indefinite_pronouns=1 Interrogative-based|position_of_case_affixes=1 Case suffixes|nominal_and_verbal_conjunction=2 Differentiation|position_of_tense-aspect_affixes=2 Tense-aspect suffixes|the_morphological_imperative=4 Second person number-neutral|the_prohibitive=1 Normal imperative + normal negative|order_of_subject,_object_and_verb=1 SOV|order_of_subject_and_verb=1 SV|order_of_object_and_verb=1 OV|order_of_demonstrative_and_noun=6 Mixed|position_of_interrogative_phrases_in_content_questions=2 Not initial interrogative phrase|ditransitive_constructions:_the_verb_'give'=1 Indirect-object construction|negative_morphemes=2 Negative particle|hand_and_arm=2 Different|finger_and_hand=2 Different|postverbal_negative_morphemes=4 None|sovneg_order=11 NoSOVNeg|position_of_negative_word_with_respect_to_subject,_object,_and_verb=21 Other|preverbal_negative_morphemes=1 NegV|order_of_negative_morpheme_and_verb=1 NegV|the_position_of_negative_morphemes_in_sov_languages=14 Other NegV|minor_morphological_means_of_signaling_negation=4 None|inclusive/exclusive_forms_in_pama-nyungan=2 Inclusive and exclusive differentiated|cultural_categories_of_languages_with_identity_of_'finger'_and_'hand'=1 Hunter-gatherers
dmi	Dumi	Sino-Tibetan	definite_articles=5 No definite or indefinite article|indefinite_articles=5 No definite or indefinite article|third_person_pronouns_and_demonstratives=2 Related for all demonstratives|politeness_distinctions_in_pronouns=1 No politeness distinction|position_of_case_affixes=6 Postpositional clitics|comitatives_and_instrumentals=2 Differentiation|ordinal_numerals=5 First/one-th, two-th, three-th|position_of_pronominal_possessive_affixes=1 Possessive prefixes|position_of_tense-aspect_affixes=2 Tense-aspect suffixes|the_morphological_imperative=1 Second singular and second plural|the_prohibitive=3 Special imperative + normal negative|the_optative=1 Inflectional optative present|semantic_distinctions_of_evidentiality=2 Indirect only|coding_of_evidentiality=2 Verbal affix or clitic|order_of_subject_and_verb=1 SV|order_of_object_and_verb=1 OV|order_of_adposition_and_noun_phrase=1 Postpositions|order_of_genitive_and_noun=1 Genitive-Noun|order_of_adjective_and_noun=2 Noun-Adjective|order_of_demonstrative_and_noun=1 Demonstrative-Noun|order_of_numeral_and_noun=1 Numeral-Noun|position_of_interrogative_phrases_in_content_questions=2 Not initial interrogative phrase|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=1 OV and Postpositions|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=1 OV and AdjN|negative_morphemes=1 Negative affix|predicative_adjectives=3 Mixed|nominal_and_locational_predication=1 Different|zero_copula_for_predicate_nominals=1 Impossible|postverbal_negative_morphemes=2 [V-Neg]|position_of_negative_word_with_respect_to_subject,_object,_and_verb=20 MorphNeg|multiple_negative_constructions_in_sov_languages=26 SV & OV & [Neg-V]/[V-Neg]|preverbal_negative_morphemes=2 [Neg-V]|order_of_negative_morpheme_and_verb=11 Type 3 / Type 4|the_position_of_negative_morphemes_in_sov_languages=15 More than one construction|minor_morphological_means_of_signaling_negation=4 None
dyi	Dyirbal	Pama-Nyungan	consonant_inventories=3 Average|vowel_quality_inventories=2 Average (5-6)|consonant-vowel_ratio=3 Average|voicing_in_plosives_and_fricatives=1 No voicing contrast|voicing_and_gaps_in_plosive_systems=1 Other|uvular_consonants=1 None|glottalized_consonants=1 No glottalized consonants|lateral_consonants=2 /l/, no obstruent laterals|front_rounded_vowels=1 None|syllable_structure=2 Moderately complex|tone=1 No tones|fixed_stress_locations=1 No fixed stress|weight-sensitive_stress=1 Left-edge: First or second|weight_factors_in_weight-sensitive_stress_systems=2 Long vowel|rhythm_types=1 Trochaic|absence_of_common_consonants=1 All present|presence_of_uncommon_consonants=1 None|locus_of_marking_in_the_clause=3 Double marking|locus_of_marking_in_possessive_noun_phrases=2 Dependent marking|locus_of_marking:_whole-language_typology=5 Inconsistent or other|prefixing_vs._suffixing_in_inflectional_morphology=2 Strongly suffixing|reduplication=1 Productive full and partial reduplication|number_of_genders=1 None|sex-based_and_non-sex-based_gender_systems=2 Sex-based|systems_of_gender_assignment=2 Semantic|occurrence_of_nominal_plurality=6 All nouns, always obligatory|the_associative_plural=1 Associative same as additive plural|distance_contrasts_in_demonstratives=2 Two-way contrast|pronominal_and_adnominal_demonstratives=1 Identical|politeness_distinctions_in_pronouns=1 No politeness distinction|indefinite_pronouns=1 Interrogative-based|number_of_cases=7 8-9 cases|asymmetrical_case-marking=5 Qualitatively asymmetrical|position_of_case_affixes=1 Case suffixes|numeral_classifiers=1 Absent|obligatory_possessive_inflection=2 Absent|possessive_classification=2 Two classes|adjectives_without_nouns=2 Without marking|noun_phrase_conjunction=1 'And' different from 'with'|position_of_tense-aspect_affixes=2 Tense-aspect suffixes|the_morphological_imperative=4 Second person number-neutral|the_prohibitive=4 Special imperative + special negative|semantic_distinctions_of_evidentiality=1 No grammatical evidentials|coding_of_evidentiality=1 No grammatical evidentials|order_of_subject,_object_and_verb=1 SOV|order_of_subject_and_verb=1 SV|order_of_object_and_verb=1 OV|order_of_object,_oblique,_and_verb=6 No dominant order|order_of_adposition_and_noun_phrase=1 Postpositions|order_of_genitive_and_noun=1 Genitive-Noun|order_of_adjective_and_noun=2 Noun-Adjective|order_of_demonstrative_and_noun=1 Demonstrative-Noun|order_of_numeral_and_noun=2 Noun-Numeral|order_of_relative_clause_and_noun=1 Noun-Relative clause|position_of_polar_question_particles=6 No question particle|position_of_interrogative_phrases_in_content_questions=2 Not initial interrogative phrase|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=5 Other|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=2 OV and NAdj|ditransitive_constructions:_the_verb_'give'=4 Mixed|antipassive_constructions=2 Oblique patient|applicative_constructions=1 Benefactive object; both bases|negative_morphemes=2 Negative particle|polar_questions=1 Question particle|predicative_possession=5 'Have'|predicative_adjectives=1 Verbal encoding|nominal_and_locational_predication=1 Different|zero_copula_for_predicate_nominals=1 Impossible|m-t_pronouns=1 No M-T pronouns|n-m_pronouns=1 No N-M pronouns|postverbal_negative_morphemes=4 None|postnominal_relative_clauses=1 Noun-Relative clause (NRel) dominant|position_of_negative_word_with_respect_to_subject,_object,_and_verb=21 Other|position_of_negative_words_relative_to_beginning_and_end_of_clause_and_with_respect_to_adjacency_to_verb=3 Immed preverbal|preverbal_negative_morphemes=1 NegV|order_of_negative_morpheme_and_verb=1 NegV|the_position_of_negative_morphemes_in_sov_languages=3 SONegV|minor_morphological_means_of_signaling_negation=4 None|inclusive/exclusive_forms_in_pama-nyungan=2 Inclusive and exclusive differentiated|m_in_second_person_singular=1 No m in second person singular|m_in_first_person_singular=1 No m in first person singular|other_roles_of_applied_objects=4 No other roles (= Only benefactive)|zero_marking_of_a_and_p_arguments=2 Non-zero marking|productivity_of_the_antipassive_construction=1 productive|number_of_possessive_nouns=1 None reported
gny	Gunya	Pama-Nyungan	semantic_distinctions_of_evidentiality=2 Indirect only|coding_of_evidentiality=2 Verbal affix or clitic|hand_and_arm=2 Different|inclusive/exclusive_forms_in_pama-nyungan=1 No inclusive/exclusive opposition
grs	Garus	Trans-New Guinea	position_of_pronominal_possessive_affixes=2 Possessive suffixes|position_of_tense-aspect_affixes=4 Mixed type|negative_morphemes=2 Negative particle|postverbal_negative_morphemes=4 None|preverbal_negative_morphemes=1 NegV|order_of_negative_morpheme_and_verb=1 NegV|minor_morphological_means_of_signaling_negation=4 None
guu	Guugu Yimidhirr	Pama-Nyungan	fixed_stress_locations=2 Initial|weight-sensitive_stress=8 Fixed stress (no weight-sensitivity)|weight_factors_in_weight-sensitive_stress_systems=1 No weight|rhythm_types=1 Trochaic|prefixing_vs._suffixing_in_inflectional_morphology=2 Strongly suffixing|number_of_genders=1 None|sex-based_and_non-sex-based_gender_systems=1 No gender|systems_of_gender_assignment=1 No gender|coding_of_nominal_plurality=2 Plural suffix|plurality_in_independent_personal_pronouns=4 Person-number stem|distance_contrasts_in_demonstratives=2 Two-way contrast|pronominal_and_adnominal_demonstratives=1 Identical|third_person_pronouns_and_demonstratives=6 Related for non-human reference|gender_distinctions_in_independent_personal_pronouns=6 No gender distinctions|indefinite_pronouns=1 Interrogative-based|person_marking_on_adpositions=2 No person marking|position_of_case_affixes=1 Case suffixes|comitatives_and_instrumentals=2 Differentiation|position_of_pronominal_possessive_affixes=4 No possessive affixes|position_of_tense-aspect_affixes=2 Tense-aspect suffixes|semantic_distinctions_of_evidentiality=1 No grammatical evidentials|coding_of_evidentiality=1 No grammatical evidentials|order_of_subject,_object_and_verb=1 SOV|order_of_subject_and_verb=1 SV|order_of_object_and_verb=1 OV|order_of_genitive_and_noun=3 No dominant order|order_of_adjective_and_noun=2 Noun-Adjective|order_of_demonstrative_and_noun=1 Demonstrative-Noun|order_of_numeral_and_noun=1 Numeral-Noun|order_of_degree_word_and_adjective=1 Degree word-Adjective|position_of_interrogative_phrases_in_content_questions=2 Not initial interrogative phrase|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=2 OV and NAdj|alignment_of_verbal_person_marking=1 Neutral|expression_of_pronominal_subjects=5 Optional pronouns in subject position|verbal_person_marking=1 No person marking|third_person_zero_of_verbal_person_marking=1 No person marking|order_of_person_markers_on_the_verb=1 A and P do not or do not both occur on the verb|ditransitive_constructions:_the_verb_'give'=1 Indirect-object construction|passive_constructions=2 Absent|nonperiphrastic_causative_constructions=2 Morphological but no compound|negative_morphemes=2 Negative particle|predicative_adjectives=2 Nonverbal encoding|nominal_and_locational_predication=1 Different|zero_copula_for_predicate_nominals=2 Possible|'want'_complement_subjects=1 Subject is left implicit|purpose_clauses=3 Deranked|hand_and_arm=2 Different|finger_and_hand=2 Different|postverbal_negative_morphemes=4 None|negsov_order=4 No NegSOV|sovneg_order=11 NoSOVNeg|position_of_negative_word_with_respect_to_subject,_object,_and_verb=7 SONegV|sonegv_order=1 Word&NoDoubleNeg|position_of_negative_words_relative_to_beginning_and_end_of_clause_and_with_respect_to_adjacency_to_verb=3 Immed preverbal|preverbal_negative_morphemes=1 NegV|order_of_negative_morpheme_and_verb=1 NegV|snegov_order=4 No SNegOV|the_position_of_negative_morphemes_in_sov_languages=3 SONegV|minor_morphological_means_of_signaling_negation=4 None|inclusive/exclusive_forms_in_pama-nyungan=2 Inclusive and exclusive differentiated
